"subjID","choice","trial","outcome_blue","outcome","amount_blue","amount_orange","status"
"C46474",2,122,0,1,76,91,1
"C46474",1,123,0,0,92,66,1
"C46474",1,124,0,0,14,67,1
"C46474",1,125,1,1,77,11,1
"C46474",1,126,0,0,20,36,1
"C46474",1,127,0,0,61,44,1
"C46474",2,128,0,1,34,4,1
"C46474",1,129,0,0,63,86,1
"C46474",1,130,0,0,43,99,1
"C46474",1,131,1,1,56,95,1
"C46474",1,132,0,0,63,89,1
"C46474",1,133,1,1,80,88,1
"C46474",1,134,0,0,10,5,1
"C46474",1,135,1,1,80,35,1
"C46474",2,136,1,0,57,8,1
"C46474",2,137,1,0,47,78,1
"C46474",2,138,1,0,99,5,1
"C46474",1,139,1,1,67,62,1
"C46474",1,140,0,0,27,95,1
"C46524",2,1,1,0,37,44,-1
"C46524",1,2,1,1,12,66,-1
"C46524",1,3,1,1,9,98,-1
"C46524",2,4,0,1,91,20,-1
"C46524",2,5,1,0,8,28,-1
"C46524",2,6,1,0,33,30,-1
"C46524",2,7,1,0,24,27,-1
"C46524",2,8,0,1,43,58,-1
"C46524",2,9,1,0,47,72,-1
"C46524",2,10,0,1,44,44,-1
"C46524",2,11,1,0,26,69,-1
"C46524",2,12,1,0,41,6,-1
"C46524",2,13,1,0,34,88,-1
"C46524",2,14,0,1,18,73,-1
"C46524",2,15,1,0,25,60,-1
"C46524",1,16,1,1,6,68,-1
"C46524",2,17,0,1,39,48,-1
"C46524",2,18,1,0,76,35,-1
"C46524",2,19,1,0,85,23,-1
"C46524",2,20,1,0,22,54,-1
"C46524",2,21,0,1,58,66,-1
"C46524",1,22,1,1,41,98,-1
"C46524",2,23,1,0,80,58,-1
"C46524",2,24,1,0,85,32,-1
"C46524",1,25,0,0,15,83,-1
"C46524",2,26,1,0,16,18,-1
"C46524",2,27,1,0,99,56,-1
"C46524",2,28,1,0,75,23,-1
"C46524",1,29,1,1,18,68,-1
"C46524",1,30,1,1,16,30,-1
"C46524",2,31,1,0,37,86,-1
"C46524",2,32,1,0,44,47,-1
"C46524",2,33,1,0,91,3,-1
"C46524",2,34,0,1,14,60,-1
"C46524",1,35,1,1,84,54,-1
"C46524",2,36,1,0,23,34,-1
"C46524",1,37,1,1,28,96,-1
"C46524",2,38,0,1,94,83,-1
"C46524",2,39,1,0,86,63,-1
"C46524",2,40,1,0,53,99,-1
"C46524",2,41,1,0,91,29,-1
"C46524",1,42,1,1,64,88,-1
"C46524",2,43,1,0,70,84,-1
"C46524",2,44,0,1,88,61,-1
"C46524",2,45,1,0,43,61,-1
"C46524",2,46,1,0,54,87,-1
"C46524",2,47,0,1,90,5,-1
"C46524",2,48,1,0,44,71,-1
"C46524",2,49,1,0,52,42,-1
"C46524",2,50,1,0,93,39,-1
"C46524",1,51,1,1,24,39,-1
"C46524",2,52,0,1,10,20,-1
"C46524",2,53,0,1,43,85,-1
"C46524",2,54,0,1,7,77,-1
"C46524",1,55,1,1,90,95,-1
"C46524",1,56,1,1,7,56,-1
"C46524",1,57,1,1,69,50,-1
"C46524",1,58,1,1,83,4,-1
"C46524",1,59,0,0,8,40,-1
"C46524",2,60,1,0,86,47,-1
"C46524",2,61,1,0,49,15,-1
"C46524",2,62,1,0,39,17,-1
"C46524",2,63,0,1,97,76,-1
"C46524",2,64,1,0,14,73,-1
"C46524",2,65,1,0,29,67,-1
"C46524",2,66,1,0,39,48,-1
"C46524",1,67,1,1,99,30,-1
"C46524",2,68,0,1,20,13,-1
"C46524",1,69,1,1,59,66,-1
"C46524",2,70,1,0,60,20,-1
"C46524",2,71,1,0,25,41,1
"C46524",2,72,0,1,70,76,1
"C46524",2,73,0,1,18,73,1
"C46524",1,74,0,0,80,41,1
"C46524",1,75,1,1,76,25,1
"C46524",2,76,0,1,52,34,1
"C46524",1,77,0,0,60,30,1
"C46524",1,78,0,0,36,91,1
"C46524",1,79,0,0,59,70,1
"C46524",2,80,1,0,47,64,1
"C46524",2,81,0,1,44,28,1
"C46524",2,82,0,1,80,2,1
"C46524",1,83,0,0,39,20,1
"C46524",2,84,0,1,61,32,1
"C46524",2,85,0,1,61,90,1
"C46524",2,86,1,0,70,62,1
"C46524",1,87,0,0,33,17,1
"C46524",1,88,0,0,17,74,1
"C46524",1,89,0,0,85,2,1
"C46524",2,90,0,1,76,39,1
"C46524",2,91,0,1,20,70,1
"C46524",1,92,1,1,69,24,1
"C46524",1,93,1,1,52,59,1
"C46524",2,94,0,1,43,15,1
"C46524",2,95,1,0,34,50,1
"C46524",2,96,0,1,48,43,1
"C46524",2,97,1,0,35,14,1
"C46524",2,98,1,0,42,12,1
"C46524",2,99,1,0,44,40,1
"C46524",2,100,1,0,50,88,1
"C46524",1,101,1,1,19,51,1
"C46524",1,102,1,1,59,44,1
"C46524",2,103,1,0,9,23,1
"C46524",1,104,1,1,76,23,1
"C46524",2,105,1,0,47,94,1
"C46524",2,106,0,1,56,67,1
"C46524",2,107,1,0,16,50,1
"C46524",1,108,1,1,7,83,1
"C46524",2,109,1,0,41,86,1
"C46524",2,110,1,0,37,61,1
"C46524",2,111,0,1,57,82,1
"C46524",2,112,0,1,28,68,1
"C46524",2,113,0,1,76,65,1
"C46524",1,114,0,0,19,25,1
"C46524",1,115,0,0,68,67,1
"C46524",1,116,0,0,68,82,1
"C46524",1,117,0,0,19,88,1
"C46524",2,118,1,0,11,55,1
"C46524",1,119,1,1,36,74,1
"C46524",1,120,0,0,64,18,1
"C46524",1,121,0,0,3,15,1
"C46524",1,122,0,0,76,91,1
"C46524",1,123,0,0,92,66,1
"C46524",1,124,0,0,14,67,1
"C46524",2,125,1,0,77,11,1
"C46524",1,126,0,0,20,36,1
"C46524",1,127,0,0,61,44,1
"C46524",2,128,0,1,34,4,1
"C46524",1,129,0,0,63,86,1
"C46524",1,130,0,0,43,99,1
"C46524",1,131,1,1,56,95,1
"C46524",1,132,0,0,63,89,1
"C46524",1,133,1,1,80,88,1
"C46524",1,134,0,0,10,5,1
"C46524",2,135,1,0,80,35,1
"C46524",2,136,1,0,57,8,1
"C46524",2,137,1,0,47,78,1
"C46524",2,138,1,0,99,5,1
"C46524",2,139,1,0,67,62,1
"C46524",1,140,0,0,27,95,1
"C46552",1,1,1,1,37,44,-1
"C46552",2,2,1,0,12,66,-1
"C46552",2,3,1,0,9,98,-1
"C46552",2,4,0,1,91,20,-1
"C46552",2,5,1,0,8,28,-1
"C46552",2,6,1,0,33,30,-1
"C46552",2,7,1,0,24,27,-1
"C46552",2,8,0,1,43,58,-1
"C46552",2,9,1,0,47,72,-1
"C46552",2,10,0,1,44,44,-1
"C46552",2,11,1,0,26,69,-1
"C46552",2,12,1,0,41,6,-1
"C46552",2,13,1,0,34,88,-1
"C46552",2,14,0,1,18,73,-1
"C46552",2,15,1,0,25,60,-1
"C46552",2,16,1,0,6,68,-1
"C46552",2,17,0,1,39,48,-1
"C46552",2,18,1,0,76,35,-1
"C46552",2,19,1,0,85,23,-1
"C46552",2,20,1,0,22,54,-1
"C46552",1,21,0,0,58,66,-1
"C46552",1,22,1,1,41,98,-1
"C46552",2,23,1,0,80,58,-1
"C46552",2,24,1,0,85,32,-1
"C46552",1,25,0,0,15,83,-1
"C46552",2,26,1,0,16,18,-1
"C46552",2,27,1,0,99,56,-1
"C46552",2,28,1,0,75,23,-1
"C46552",2,29,1,0,18,68,-1
"C46552",2,30,1,0,16,30,-1
"C46552",2,31,1,0,37,86,-1
"C46552",2,32,1,0,44,47,-1
"C46552",2,33,1,0,91,3,-1
"C46552",2,34,0,1,14,60,-1
"C46552",2,35,1,0,84,54,-1
"C46552",2,36,1,0,23,34,-1
"C46552",1,37,1,1,28,96,-1
"C46552",2,38,0,1,94,83,-1
"C46552",2,39,1,0,86,63,-1
"C46552",1,40,1,1,53,99,-1
"C46552",2,41,1,0,91,29,-1
"C46552",2,42,1,0,64,88,-1
"C46552",2,43,1,0,70,84,-1
"C46552",2,44,0,1,88,61,-1
"C46552",1,45,1,1,43,61,-1
"C46552",1,46,1,1,54,87,-1
"C46552",2,47,0,1,90,5,-1
"C46552",2,48,1,0,44,71,-1
"C46552",2,49,1,0,52,42,-1
"C46552",2,50,1,0,93,39,-1
"C46552",2,51,1,0,24,39,-1
"C46552",2,52,0,1,10,20,-1
"C46552",2,53,0,1,43,85,-1
"C46552",2,54,0,1,7,77,-1
"C46552",1,55,1,1,90,95,-1
"C46552",2,56,1,0,7,56,-1
"C46552",2,57,1,0,69,50,-1
"C46552",2,58,1,0,83,4,-1
"C46552",2,59,0,1,8,40,-1
"C46552",2,60,1,0,86,47,-1
"C46552",2,61,1,0,49,15,-1
"C46552",2,62,1,0,39,17,-1
"C46552",2,63,0,1,97,76,-1
"C46552",2,64,1,0,14,73,-1
"C46552",1,65,1,1,29,67,-1
"C46552",2,66,1,0,39,48,-1
"C46552",2,67,1,0,99,30,-1
"C46552",2,68,0,1,20,13,-1
"C46552",2,69,1,0,59,66,-1
"C46552",2,70,1,0,60,20,-1
"C46552",2,71,1,0,25,41,1
"C46552",2,72,0,1,70,76,1
"C46552",2,73,0,1,18,73,1
"C46552",2,74,0,1,80,41,1
"C46552",2,75,1,0,76,25,1
"C46552",2,76,0,1,52,34,1
"C46552",2,77,0,1,60,30,1
"C46552",1,78,0,0,36,91,1
"C46552",2,79,0,1,59,70,1
"C46552",1,80,1,1,47,64,1
"C46552",2,81,0,1,44,28,1
"C46552",1,82,0,0,80,2,1
"C46552",1,83,0,0,39,20,1
"C46552",1,84,0,0,61,32,1
"C46552",1,85,0,0,61,90,1
"C46552",2,86,1,0,70,62,1
"C46552",2,87,0,1,33,17,1
"C46552",2,88,0,1,17,74,1
"C46552",2,89,0,1,85,2,1
"C46552",1,90,0,0,76,39,1
"C46552",2,91,0,1,20,70,1
"C46552",1,92,1,1,69,24,1
"C46552",2,93,1,0,52,59,1
"C46552",1,94,0,0,43,15,1
"C46552",2,95,1,0,34,50,1
"C46552",2,96,0,1,48,43,1
"C46552",1,97,1,1,35,14,1
"C46552",1,98,1,1,42,12,1
"C46552",2,99,1,0,44,40,1
"C46552",2,100,1,0,50,88,1
"C46552",2,101,1,0,19,51,1
"C46552",2,102,1,0,59,44,1
"C46552",2,103,1,0,9,23,1
"C46552",2,104,1,0,76,23,1
"C46552",2,105,1,0,47,94,1
"C46552",2,106,0,1,56,67,1
"C46552",2,107,1,0,16,50,1
"C46552",2,108,1,0,7,83,1
"C46552",1,109,1,1,41,86,1
"C46552",2,110,1,0,37,61,1
"C46552",2,111,0,1,57,82,1
"C46552",2,112,0,1,28,68,1
"C46552",2,113,0,1,76,65,1
"C46552",1,114,0,0,19,25,1
"C46552",1,115,0,0,68,67,1
"C46552",1,116,0,0,68,82,1
"C46552",1,117,0,0,19,88,1
"C46552",1,118,1,1,11,55,1
"C46552",1,119,1,1,36,74,1
"C46552",2,120,0,1,64,18,1
"C46552",2,121,0,1,3,15,1
"C46552",1,122,0,0,76,91,1
"C46552",2,123,0,1,92,66,1
"C46552",2,124,0,1,14,67,1
"C46552",2,125,1,0,77,11,1
"C46552",1,126,0,0,20,36,1
"C46552",2,127,0,1,61,44,1
"C46552",2,128,0,1,34,4,1
"C46552",2,129,0,1,63,86,1
"C46552",1,130,0,0,43,99,1
"C46552",1,131,1,1,56,95,1
"C46552",2,132,0,1,63,89,1
"C46552",2,133,1,0,80,88,1
"C46552",2,134,0,1,10,5,1
"C46552",1,135,1,1,80,35,1
"C46552",1,136,1,1,57,8,1
"C46552",2,137,1,0,47,78,1
"C46552",2,138,1,0,99,5,1
"C46552",2,139,1,0,67,62,1
"C46552",1,140,0,0,27,95,1
"C46583",1,1,1,1,37,44,-1
"C46583",1,2,1,1,12,66,-1
"C46583",2,3,1,0,9,98,-1
"C46583",2,4,0,1,91,20,-1
"C46583",2,5,1,0,8,28,-1
"C46583",2,6,1,0,33,30,-1
"C46583",2,7,1,0,24,27,-1
"C46583",2,8,0,1,43,58,-1
"C46583",1,9,1,1,47,72,-1
"C46583",2,10,0,1,44,44,-1
"C46583",1,11,1,1,26,69,-1
"C46583",2,12,1,0,41,6,-1
"C46583",1,13,1,1,34,88,-1
"C46583",1,14,0,0,18,73,-1
"C46583",1,15,1,1,25,60,-1
"C46583",1,16,1,1,6,68,-1
"C46583",2,17,0,1,39,48,-1
"C46583",2,18,1,0,76,35,-1
"C46583",2,19,1,0,85,23,-1
"C46583",2,20,1,0,22,54,-1
"C46583",2,21,0,1,58,66,-1
"C46583",1,22,1,1,41,98,-1
"C46583",2,23,1,0,80,58,-1
"C46583",2,24,1,0,85,32,-1
"C46583",1,25,0,0,15,83,-1
"C46583",2,26,1,0,16,18,-1
"C46583",2,27,1,0,99,56,-1
"C46583",2,28,1,0,75,23,-1
"C46583",1,29,1,1,18,68,-1
"C46583",2,30,1,0,16,30,-1
"C46583",1,31,1,1,37,86,-1
"C46583",2,32,1,0,44,47,-1
"C46583",2,33,1,0,91,3,-1
"C46583",2,34,0,1,14,60,-1
"C46583",2,35,1,0,84,54,-1
"C46583",2,36,1,0,23,34,-1
"C46583",1,37,1,1,28,96,-1
"C46583",2,38,0,1,94,83,-1
"C46583",2,39,1,0,86,63,-1
"C46583",2,40,1,0,53,99,-1
"C46583",2,41,1,0,91,29,-1
"C46583",2,42,1,0,64,88,-1
"C46583",2,43,1,0,70,84,-1
"C46583",2,44,0,1,88,61,-1
"C46583",2,45,1,0,43,61,-1
"C46583",2,46,1,0,54,87,-1
"C46583",2,47,0,1,90,5,-1
"C46583",2,48,1,0,44,71,-1
"C46583",2,49,1,0,52,42,-1
"C46583",2,50,1,0,93,39,-1
"C46583",2,51,1,0,24,39,-1
"C46583",2,52,0,1,10,20,-1
"C46583",2,53,0,1,43,85,-1
"C46583",1,54,0,0,7,77,-1
"C46583",1,55,1,1,90,95,-1
"C46583",1,56,1,1,7,56,-1
"C46583",2,57,1,0,69,50,-1
"C46583",2,58,1,0,83,4,-1
"C46583",2,59,0,1,8,40,-1
"C46583",2,60,1,0,86,47,-1
"C46583",2,61,1,0,49,15,-1
"C46583",2,62,1,0,39,17,-1
"C46583",2,63,0,1,97,76,-1
"C46583",1,64,1,1,14,73,-1
"C46583",2,65,1,0,29,67,-1
"C46583",2,66,1,0,39,48,-1
"C46583",2,67,1,0,99,30,-1
"C46583",2,68,0,1,20,13,-1
"C46583",2,69,1,0,59,66,-1
"C46583",2,70,1,0,60,20,-1
"C46583",2,71,1,0,25,41,1
"C46583",2,72,0,1,70,76,1
"C46583",1,73,0,0,18,73,1
"C46583",2,74,0,1,80,41,1
"C46583",2,75,1,0,76,25,1
"C46583",1,76,0,0,52,34,1
"C46583",1,77,0,0,60,30,1
"C46583",1,78,0,0,36,91,1
"C46583",1,79,0,0,59,70,1
"C46583",1,80,1,1,47,64,1
"C46583",1,81,0,0,44,28,1
"C46583",2,82,0,1,80,2,1
"C46583",1,83,0,0,39,20,1
"C46583",1,84,0,0,61,32,1
"C46583",1,85,0,0,61,90,1
"C46583",1,86,1,1,70,62,1
"C46583",2,87,0,1,33,17,1
"C46583",1,88,0,0,17,74,1
"C46583",2,89,0,1,85,2,1
"C46583",2,90,0,1,76,39,1
"C46583",1,91,0,0,20,70,1
"C46583",2,92,1,0,69,24,1
"C46583",1,93,1,1,52,59,1
"C46583",2,94,0,1,43,15,1
"C46583",1,95,1,1,34,50,1
"C46583",1,96,0,0,48,43,1
"C46583",1,97,1,1,35,14,1
"C46583",2,98,1,0,42,12,1
"C46583",2,99,1,0,44,40,1
"C46583",2,100,1,0,50,88,1
"C46583",2,101,1,0,19,51,1
"C46583",2,102,1,0,59,44,1
"C46583",2,103,1,0,9,23,1
"C46583",2,104,1,0,76,23,1
"C46583",1,105,1,1,47,94,1
"C46583",2,106,0,1,56,67,1
"C46583",2,107,1,0,16,50,1
"C46583",1,108,1,1,7,83,1
"C46583",2,109,1,0,41,86,1
"C46583",2,110,1,0,37,61,1
"C46583",2,111,0,1,57,82,1
"C46583",2,112,0,1,28,68,1
"C46583",1,113,0,0,76,65,1
"C46583",1,114,0,0,19,25,1
"C46583",1,115,0,0,68,67,1
"C46583",1,116,0,0,68,82,1
"C46583",1,117,0,0,19,88,1
"C46583",1,118,1,1,11,55,1
"C46583",1,119,1,1,36,74,1
"C46583",2,120,0,1,64,18,1
"C46583",1,121,0,0,3,15,1
"C46583",1,122,0,0,76,91,1
"C46583",1,123,0,0,92,66,1
"C46583",1,124,0,0,14,67,1
"C46583",1,125,1,1,77,11,1
"C46583",1,126,0,0,20,36,1
"C46583",1,127,0,0,61,44,1
"C46583",1,128,0,0,34,4,1
"C46583",1,129,0,0,63,86,1
"C46583",1,130,0,0,43,99,1
"C46583",1,131,1,1,56,95,1
"C46583",1,132,0,0,63,89,1
"C46583",1,133,1,1,80,88,1
"C46583",2,134,0,1,10,5,1
"C46583",1,135,1,1,80,35,1
"C46583",2,136,1,0,57,8,1
"C46583",2,137,1,0,47,78,1
"C46583",2,138,1,0,99,5,1
"C46583",2,139,1,0,67,62,1
"C46583",2,140,0,1,27,95,1
"C46651",1,1,1,1,37,44,-1
"C46651",1,2,1,1,12,66,-1
"C46651",2,3,1,0,9,98,-1
"C46651",1,4,0,0,91,20,-1
"C46651",1,5,1,1,8,28,-1
"C46651",1,6,1,1,33,30,-1
"C46651",1,7,1,1,24,27,-1
"C46651",2,8,0,1,43,58,-1
"C46651",2,9,1,0,47,72,-1
"C46651",2,10,0,1,44,44,-1
"C46651",2,11,1,0,26,69,-1
"C46651",1,12,1,1,41,6,-1
"C46651",1,13,1,1,34,88,-1
"C46651",1,14,0,0,18,73,-1
"C46651",1,15,1,1,25,60,-1
"C46651",1,16,1,1,6,68,-1
"C46651",1,17,0,0,39,48,-1
"C46651",2,18,1,0,76,35,-1
"C46651",1,19,1,1,85,23,-1
"C46651",1,20,1,1,22,54,-1
"C46651",2,21,0,1,58,66,-1
"C46651",1,22,1,1,41,98,-1
"C46651",1,23,1,1,80,58,-1
"C46651",2,24,1,0,85,32,-1
"C46651",1,25,0,0,15,83,-1
"C46651",1,26,1,1,16,18,-1
"C46651",2,27,1,0,99,56,-1
"C46651",2,28,1,0,75,23,-1
"C46651",2,29,1,0,18,68,-1
"C46651",2,30,1,0,16,30,-1
"C46651",2,31,1,0,37,86,-1
"C46651",1,32,1,1,44,47,-1
"C46651",2,33,1,0,91,3,-1
"C46651",1,34,0,0,14,60,-1
"C46651",2,35,1,0,84,54,-1
"C46651",2,36,1,0,23,34,-1
"C46651",1,37,1,1,28,96,-1
"C46651",2,38,0,1,94,83,-1
"C46651",2,39,1,0,86,63,-1
"C46651",2,40,1,0,53,99,-1
"C46651",2,41,1,0,91,29,-1
"C46651",1,42,1,1,64,88,-1
"C46651",2,43,1,0,70,84,-1
"C46651",2,44,0,1,88,61,-1
"C46651",2,45,1,0,43,61,-1
"C46651",1,46,1,1,54,87,-1
"C46651",2,47,0,1,90,5,-1
"C46651",1,48,1,1,44,71,-1
"C46651",1,49,1,1,52,42,-1
"C46651",1,50,1,1,93,39,-1
"C46651",1,51,1,1,24,39,-1
"C46651",2,52,0,1,10,20,-1
"C46651",2,53,0,1,43,85,-1
"C46651",1,54,0,0,7,77,-1
"C46651",2,55,1,0,90,95,-1
"C46651",1,56,1,1,7,56,-1
"C46651",1,57,1,1,69,50,-1
"C46651",1,58,1,1,83,4,-1
"C46651",2,59,0,1,8,40,-1
"C46651",2,60,1,0,86,47,-1
"C46651",1,61,1,1,49,15,-1
"C46651",1,62,1,1,39,17,-1
"C46651",2,63,0,1,97,76,-1
"C46651",2,64,1,0,14,73,-1
"C46651",2,65,1,0,29,67,-1
"C46651",1,66,1,1,39,48,-1
"C46651",2,67,1,0,99,30,-1
"C46651",1,68,0,0,20,13,-1
"C46651",2,69,1,0,59,66,-1
"C46651",2,70,1,0,60,20,-1
"C46651",1,71,1,1,25,41,1
"C46651",2,72,0,1,70,76,1
"C46651",1,73,0,0,18,73,1
"C46651",1,74,0,0,80,41,1
"C46651",2,75,1,0,76,25,1
"C46651",2,76,0,1,52,34,1
"C46651",2,77,0,1,60,30,1
"C46651",1,78,0,0,36,91,1
"C46651",2,79,0,1,59,70,1
"C46651",2,80,1,0,47,64,1
"C46651",2,81,0,1,44,28,1
"C46651",1,82,0,0,80,2,1
"C46651",2,83,0,1,39,20,1
"C46651",2,84,0,1,61,32,1
"C46651",2,85,0,1,61,90,1
"C46651",1,86,1,1,70,62,1
"C46651",2,87,0,1,33,17,1
"C46651",1,88,0,0,17,74,1
"C46651",2,89,0,1,85,2,1
"C46651",1,90,0,0,76,39,1
"C46651",2,91,0,1,20,70,1
"C46651",1,92,1,1,69,24,1
"C46651",2,93,1,0,52,59,1
"C46651",1,94,0,0,43,15,1
"C46651",1,95,1,1,34,50,1
"C46651",1,96,0,0,48,43,1
"C46651",1,97,1,1,35,14,1
"C46651",1,98,1,1,42,12,1
"C46651",2,99,1,0,44,40,1
"C46651",2,100,1,0,50,88,1
"C46651",1,101,1,1,19,51,1
"C46651",1,102,1,1,59,44,1
"C46651",2,103,1,0,9,23,1
"C46651",1,104,1,1,76,23,1
"C46651",1,105,1,1,47,94,1
"C46651",1,106,0,0,56,67,1
"C46651",1,107,1,1,16,50,1
"C46651",1,108,1,1,7,83,1
"C46651",1,109,1,1,41,86,1
"C46651",1,110,1,1,37,61,1
"C46651",1,111,0,0,57,82,1
"C46651",2,112,0,1,28,68,1
"C46651",1,113,0,0,76,65,1
"C46651",1,114,0,0,19,25,1
"C46651",1,115,0,0,68,67,1
"C46651",1,116,0,0,68,82,1
"C46651",1,117,0,0,19,88,1
"C46651",2,118,1,0,11,55,1
"C46651",1,119,1,1,36,74,1
"C46651",2,120,0,1,64,18,1
"C46651",1,121,0,0,3,15,1
"C46651",1,122,0,0,76,91,1
"C46651",2,123,0,1,92,66,1
"C46651",1,124,0,0,14,67,1
"C46651",2,125,1,0,77,11,1
"C46651",1,126,0,0,20,36,1
"C46651",1,127,0,0,61,44,1
"C46651",2,128,0,1,34,4,1
"C46651",1,129,0,0,63,86,1
"C46651",1,130,0,0,43,99,1
"C46651",1,131,1,1,56,95,1
"C46651",1,132,0,0,63,89,1
"C46651",2,133,1,0,80,88,1
"C46651",1,134,0,0,10,5,1
"C46651",2,135,1,0,80,35,1
"C46651",2,136,1,0,57,8,1
"C46651",1,137,1,1,47,78,1
"C46651",2,138,1,0,99,5,1
"C46651",2,139,1,0,67,62,1
"C46651",2,140,0,1,27,95,1
"C46713",2,1,1,0,37,44,-1
"C46713",2,2,1,0,12,66,-1
"C46713",1,3,1,1,9,98,-1
"C46713",2,4,0,1,91,20,-1
"C46713",2,5,1,0,8,28,-1
"C46713",2,6,1,0,33,30,-1
"C46713",2,7,1,0,24,27,-1
"C46713",2,8,0,1,43,58,-1
"C46713",2,9,1,0,47,72,-1
"C46713",2,10,0,1,44,44,-1
"C46713",2,11,1,0,26,69,-1
"C46713",2,12,1,0,41,6,-1
"C46713",2,13,1,0,34,88,-1
"C46713",1,14,0,0,18,73,-1
"C46713",2,15,1,0,25,60,-1
"C46713",1,16,1,1,6,68,-1
"C46713",2,17,0,1,39,48,-1
"C46713",2,18,1,0,76,35,-1
"C46713",2,19,1,0,85,23,-1
"C46713",2,20,1,0,22,54,-1
"C46713",2,21,0,1,58,66,-1
"C46713",2,22,1,0,41,98,-1
"C46713",2,23,1,0,80,58,-1
"C46713",2,24,1,0,85,32,-1
"C46713",2,25,0,1,15,83,-1
"C46713",2,26,1,0,16,18,-1
"C46713",2,27,1,0,99,56,-1
"C46713",2,28,1,0,75,23,-1
"C46713",1,29,1,1,18,68,-1
"C46713",2,30,1,0,16,30,-1
"C46713",2,31,1,0,37,86,-1
"C46713",2,32,1,0,44,47,-1
"C46713",2,33,1,0,91,3,-1
"C46713",1,34,0,0,14,60,-1
"C46713",2,35,1,0,84,54,-1
"C46713",2,36,1,0,23,34,-1
"C46713",1,37,1,1,28,96,-1
"C46713",2,38,0,1,94,83,-1
"C46713",2,39,1,0,86,63,-1
"C46713",2,40,1,0,53,99,-1
"C46713",2,41,1,0,91,29,-1
"C46713",2,42,1,0,64,88,-1
"C46713",2,43,1,0,70,84,-1
"C46713",2,44,0,1,88,61,-1
"C46713",2,45,1,0,43,61,-1
"C46713",2,46,1,0,54,87,-1
"C46713",2,47,0,1,90,5,-1
"C46713",2,48,1,0,44,71,-1
"C46713",2,49,1,0,52,42,-1
"C46713",2,50,1,0,93,39,-1
"C46713",2,51,1,0,24,39,-1
"C46713",2,52,0,1,10,20,-1
"C46713",2,53,0,1,43,85,-1
"C46713",2,54,0,1,7,77,-1
"C46713",1,55,1,1,90,95,-1
"C46713",1,56,1,1,7,56,-1
"C46713",2,57,1,0,69,50,-1
"C46713",2,58,1,0,83,4,-1
"C46713",2,59,0,1,8,40,-1
"C46713",2,60,1,0,86,47,-1
"C46713",2,61,1,0,49,15,-1
"C46713",2,62,1,0,39,17,-1
"C46713",2,63,0,1,97,76,-1
"C46713",2,64,1,0,14,73,-1
"C46713",2,65,1,0,29,67,-1
"C46713",2,66,1,0,39,48,-1
"C46713",2,67,1,0,99,30,-1
"C46713",2,68,0,1,20,13,-1
"C46713",2,69,1,0,59,66,-1
"C46713",2,70,1,0,60,20,-1
"C46713",2,71,1,0,25,41,1
"C46713",2,72,0,1,70,76,1
"C46713",2,73,0,1,18,73,1
"C46713",2,74,0,1,80,41,1
"C46713",2,75,1,0,76,25,1
"C46713",2,76,0,1,52,34,1
"C46713",2,77,0,1,60,30,1
"C46713",1,78,0,0,36,91,1
"C46713",1,79,0,0,59,70,1
"C46713",1,80,1,1,47,64,1
"C46713",2,81,0,1,44,28,1
"C46713",2,82,0,1,80,2,1
"C46713",1,83,0,0,39,20,1
"C46713",1,84,0,0,61,32,1
"C46713",1,85,0,0,61,90,1
"C46713",1,86,1,1,70,62,1
"C46713",2,87,0,1,33,17,1
"C46713",1,88,0,0,17,74,1
"C46713",1,89,0,0,85,2,1
"C46713",1,90,0,0,76,39,1
"C46713",1,91,0,0,20,70,1
"C46713",1,92,1,1,69,24,1
"C46713",2,93,1,0,52,59,1
"C46713",2,94,0,1,43,15,1
"C46713",1,95,1,1,34,50,1
"C46713",2,96,0,1,48,43,1
"C46713",1,97,1,1,35,14,1
"C46713",2,98,1,0,42,12,1
"C46713",1,99,1,1,44,40,1
"C46713",2,100,1,0,50,88,1
"C46713",2,101,1,0,19,51,1
"C46713",2,102,1,0,59,44,1
"C46713",2,103,1,0,9,23,1
"C46713",2,104,1,0,76,23,1
"C46713",2,105,1,0,47,94,1
"C46713",2,106,0,1,56,67,1
"C46713",2,107,1,0,16,50,1
"C46713",2,108,1,0,7,83,1
"C46713",2,109,1,0,41,86,1
"C46713",2,110,1,0,37,61,1
"C46713",2,111,0,1,57,82,1
"C46713",2,112,0,1,28,68,1
"C46713",2,113,0,1,76,65,1
"C46713",1,114,0,0,19,25,1
"C46713",1,115,0,0,68,67,1
"C46713",1,116,0,0,68,82,1
"C46713",1,117,0,0,19,88,1
"C46713",1,118,1,1,11,55,1
"C46713",1,119,1,1,36,74,1
"C46713",2,120,0,1,64,18,1
"C46713",1,121,0,0,3,15,1
"C46713",1,122,0,0,76,91,1
"C46713",1,123,0,0,92,66,1
"C46713",1,124,0,0,14,67,1
"C46713",1,125,1,1,77,11,1
"C46713",1,126,0,0,20,36,1
"C46713",1,127,0,0,61,44,1
"C46713",2,128,0,1,34,4,1
"C46713",1,129,0,0,63,86,1
"C46713",1,130,0,0,43,99,1
"C46713",1,131,1,1,56,95,1
"C46713",1,132,0,0,63,89,1
"C46713",1,133,1,1,80,88,1
"C46713",2,134,0,1,10,5,1
"C46713",1,135,1,1,80,35,1
"C46713",2,136,1,0,57,8,1
"C46713",2,137,1,0,47,78,1
